CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:43:56.346
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = SAT2
OBJECT_ID = SAT2

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.063410  0.011985 -0.000000 0.997916
60311 45182.0  0.090306 -0.873833  0.000000 0.477766
60311 45192.0  0.088793 -0.876593  0.000000 0.472970
60311 45202.0  0.087241 -0.879326  0.000000 0.468161
60311 45212.0  0.085649 -0.882033  0.000000 0.463338
60311 45222.0  0.084015 -0.884712  0.000000 0.458504
60311 45232.0  0.082338 -0.887365  0.000000 0.453656
60311 45242.0  0.080617 -0.889991  0.000000 0.448796
60311 45252.0  0.078850 -0.892589  0.000000 0.443924
60311 45262.0  0.077037 -0.895159  0.000000 0.439039
60311 45272.0  0.075175 -0.897702  0.000000 0.434143
60311 45282.0  0.073263 -0.900216  0.000000 0.429235
60311 45292.0  0.071301 -0.902703  0.000000 0.424316
60311 45302.0  0.069285 -0.905161  0.000000 0.419385
60311 45312.0  0.067214 -0.907590  0.000000 0.414444
60311 45322.0  0.065087 -0.909989  0.000000 0.409491
60311 45332.0  0.062902 -0.912360  0.000000 0.404528
60311 45342.0  0.060656 -0.914701  0.000000 0.399554
60311 45352.0  0.058347 -0.917011  0.000000 0.394571
60311 45362.0  0.055973 -0.919291  0.000000 0.389577
60311 45372.0  0.053533 -0.921541  0.000000 0.384574
60311 45382.0  0.051022 -0.923759  0.000000 0.379561
60311 45392.0  0.048439 -0.925945  0.000000 0.374539
60311 45402.0  0.045781 -0.928099  0.000000 0.369508
60311 45412.0  0.043045 -0.930220  0.000000 0.364468
60311 45422.0  0.040228 -0.932308  0.000000 0.359420
60311 45432.0  0.037327 -0.934362  0.000000 0.354364
60311 45442.0  0.034338 -0.936382  0.000000 0.349299
60311 45452.0  0.031257 -0.938366  0.000000 0.344227
60311 45462.0  0.028080 -0.940314  0.000000 0.339148
60311 45472.0  0.024804 -0.942225  0.000000 0.334062
60311 45482.0  0.021425 -0.944098  0.000000 0.328968
60311 45492.0  0.017936 -0.945932  0.000000 0.323869
60311 45502.0  0.014334 -0.947726  0.000000 0.318763
60311 45512.0  0.010613 -0.949479  0.000000 0.313651
60311 45522.0  0.006767 -0.951189  0.000000 0.308534
60311 45532.0  0.002791 -0.952855  0.000000 0.303412
60311 45542.0 -0.001322 -0.954476  0.000000 0.298286
60311 45552.0 -0.005579 -0.956049  0.000000 0.293154
60311 45562.0 -0.009987 -0.957572  0.000000 0.288019
60311 45572.0 -0.014554 -0.959045  0.000000 0.282881
60311 45582.0 -0.019288 -0.960463  0.000000 0.277739
60311 45592.0 -0.024199 -0.961824  0.000000 0.272595
60311 45602.0 -0.029297 -0.963126  0.000000 0.267449
60311 45612.0 -0.034591 -0.964366  0.000000 0.262302
60311 45622.0 -0.040092 -0.965539  0.000000 0.257153
60311 45632.0 -0.045814 -0.966641  0.000000 0.252004
60311 45642.0 -0.051769 -0.967669  0.000000 0.246855
60311 45652.0 -0.057970 -0.968616  0.000000 0.241708
60311 45662.0 -0.064435 -0.969478  0.000000 0.236561
