CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:49:48.040
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = IRIDIUM 168
OBJECT_ID = IRIDIUM 168

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 47172.0  0.762955 -0.598951  0.000000 0.243225
60311 47182.0  0.761990 -0.598109  0.000000 0.248269
60311 47192.0  0.761002 -0.597253  0.000000 0.253307
60311 47202.0  0.759993 -0.596383  0.000000 0.258337
60311 47212.0  0.758961 -0.595499  0.000000 0.263361
60311 47222.0  0.757908 -0.594600  0.000000 0.268378
60311 47232.0  0.756833 -0.593687  0.000000 0.273387
60311 47242.0  0.755736 -0.592759  0.000000 0.278389
60311 47252.0  0.754617 -0.591816  0.000000 0.283384
60311 47262.0  0.753477 -0.590859  0.000000 0.288372
60311 47272.0  0.752315 -0.589887  0.000000 0.293351
60311 47282.0  0.751132 -0.588901  0.000000 0.298323
60311 47292.0  0.749927 -0.587900  0.000000 0.303287
60311 47302.0  0.748702 -0.586883  0.000000 0.308242
60311 47312.0  0.747455 -0.585852  0.000000 0.313190
60311 47322.0  0.746187 -0.584807  0.000000 0.318129
60311 47332.0  0.744898 -0.583746  0.000000 0.323060
60311 47342.0  0.743588 -0.582670  0.000000 0.327982
60311 47352.0  0.742257 -0.581580  0.000000 0.332895
60311 47362.0  0.740906 -0.580474  0.000000 0.337799
60311 47372.0  0.739533 -0.579354  0.000000 0.342695
60311 47382.0  0.738140 -0.578218  0.000000 0.347581
60311 47392.0  0.736727 -0.577068  0.000000 0.352457
60311 47402.0  0.735292 -0.575903  0.000000 0.357325
60311 47412.0  0.733838 -0.574723  0.000000 0.362183
60311 47422.0  0.732362 -0.573528  0.000000 0.367031
60311 47432.0  0.730867 -0.572318  0.000000 0.371869
60311 47442.0  0.729351 -0.571093  0.000000 0.376697
60311 47452.0  0.727814 -0.569853  0.000000 0.381515
60311 47462.0  0.726258 -0.568598  0.000000 0.386323
60311 47472.0  0.724681 -0.567328  0.000000 0.391121
60311 47482.0  0.723085 -0.566044  0.000000 0.395908
60311 47492.0  0.721468 -0.564744  0.000000 0.400685
60311 47502.0  0.719831 -0.563430  0.000000 0.405451
60311 47512.0  0.718174 -0.562101  0.000000 0.410205
60311 47522.0  0.716498 -0.560757  0.000000 0.414949
60311 47532.0  0.714801 -0.559398  0.000000 0.419682
60311 47542.0  0.713085 -0.558024  0.000000 0.424403
60311 47552.0  0.711349 -0.556636  0.000000 0.429113
60311 47562.0  0.709594 -0.555233  0.000000 0.433812
60311 47572.0  0.707819 -0.553815  0.000000 0.438499
60311 47582.0  0.706024 -0.552383  0.000000 0.443174
60311 47592.0  0.704210 -0.550936  0.000000 0.447837
60311 47602.0  0.702376 -0.549474  0.000000 0.452488
60311 47612.0  0.700523 -0.547998  0.000000 0.457127
60311 47622.0  0.698651 -0.546507  0.000000 0.461754
60311 47632.0  0.696760 -0.545002  0.000000 0.466368
60311 47642.0  0.694849 -0.543482  0.000000 0.470970
