,start,end,duration,timedelta,seconds
161,2024-01-02 15:57:08+00:00,2024-01-02 15:57:09+00:00,1.0,0 days 03:55:10,14110.0
162,2024-01-02 15:58:07+00:00,2024-01-02 15:58:09+00:00,2.0,0 days 03:56:09,14169.0
163,2024-01-02 16:17:33+00:00,2024-01-02 16:17:35+00:00,2.0,0 days 04:15:35,15335.0
164,2024-01-02 16:18:33+00:00,2024-01-02 16:18:35+00:00,2.0,0 days 04:16:35,15395.0
165,2024-01-02 16:19:32+00:00,2024-01-02 16:19:34+00:00,2.0,0 days 04:17:34,15454.0
166,2024-01-02 16:20:32+00:00,2024-01-02 16:20:34+00:00,2.0,0 days 04:18:34,15514.0
167,2024-01-02 16:21:32+00:00,2024-01-02 16:21:34+00:00,2.0,0 days 04:19:34,15574.0
168,2024-01-02 16:22:25+00:00,2024-01-02 16:22:26+00:00,1.0,0 days 04:20:27,15627.0
169,2024-01-02 16:22:31+00:00,2024-01-02 16:22:33+00:00,2.0,0 days 04:20:33,15633.0
170,2024-01-02 16:23:24+00:00,2024-01-02 16:23:26+00:00,2.0,0 days 04:21:26,15686.0
171,2024-01-02 16:23:31+00:00,2024-01-02 16:23:33+00:00,2.0,0 days 04:21:33,15693.0
172,2024-01-02 16:24:24+00:00,2024-01-02 16:24:26+00:00,2.0,0 days 04:22:26,15746.0
173,2024-01-02 16:24:31+00:00,2024-01-02 16:24:32+00:00,1.0,0 days 04:22:33,15753.0
174,2024-01-02 16:25:23+00:00,2024-01-02 16:25:26+00:00,3.0,0 days 04:23:25,15805.0
175,2024-01-02 16:25:31+00:00,2024-01-02 16:25:32+00:00,1.0,0 days 04:23:33,15813.0
176,2024-01-02 16:26:23+00:00,2024-01-02 16:26:25+00:00,2.0,0 days 04:24:25,15865.0
177,2024-01-02 16:26:30+00:00,2024-01-02 16:26:32+00:00,2.0,0 days 04:24:32,15872.0
178,2024-01-02 16:27:23+00:00,2024-01-02 16:27:25+00:00,2.0,0 days 04:25:25,15925.0
179,2024-01-02 16:27:30+00:00,2024-01-02 16:27:31+00:00,1.0,0 days 04:25:32,15932.0
180,2024-01-02 16:28:22+00:00,2024-01-02 16:28:24+00:00,2.0,0 days 04:26:24,15984.0
181,2024-01-02 16:29:22+00:00,2024-01-02 16:29:24+00:00,2.0,0 days 04:27:24,16044.0
183,2024-01-02 16:30:16+00:00,2024-01-02 16:30:18+00:00,2.0,0 days 04:28:18,16098.0
184,2024-01-02 16:30:21+00:00,2024-01-02 16:30:24+00:00,3.0,0 days 04:28:23,16103.0
185,2024-01-02 16:31:13+00:00,2024-01-02 16:31:14+00:00,1.0,0 days 04:29:15,16155.0
186,2024-01-02 16:31:16+00:00,2024-01-02 16:31:19+00:00,3.0,0 days 04:29:18,16158.0
187,2024-01-02 16:31:21+00:00,2024-01-02 16:31:23+00:00,2.0,0 days 04:29:23,16163.0
189,2024-01-02 16:32:17+00:00,2024-01-02 16:32:19+00:00,2.0,0 days 04:30:19,16219.0
190,2024-01-02 16:32:21+00:00,2024-01-02 16:32:23+00:00,2.0,0 days 04:30:23,16223.0
192,2024-01-02 16:33:17+00:00,2024-01-02 16:33:23+00:00,6.0,0 days 04:31:19,16279.0
193,2024-01-02 16:34:18+00:00,2024-01-02 16:34:22+00:00,4.0,0 days 04:32:20,16340.0
195,2024-01-02 16:47:56+00:00,2024-01-02 16:47:58+00:00,2.0,0 days 04:45:58,17158.0
196,2024-01-02 16:48:56+00:00,2024-01-02 16:48:58+00:00,2.0,0 days 04:46:58,17218.0
197,2024-01-02 16:49:55+00:00,2024-01-02 16:49:58+00:00,3.0,0 days 04:47:57,17277.0
198,2024-01-02 16:50:55+00:00,2024-01-02 16:50:57+00:00,2.0,0 days 04:48:57,17337.0
199,2024-01-02 16:51:55+00:00,2024-01-02 16:51:57+00:00,2.0,0 days 04:49:57,17397.0
200,2024-01-02 16:52:54+00:00,2024-01-02 16:52:57+00:00,3.0,0 days 04:50:56,17456.0
201,2024-01-02 16:53:54+00:00,2024-01-02 16:53:56+00:00,2.0,0 days 04:51:56,17516.0
202,2024-01-02 16:54:48+00:00,2024-01-02 16:54:50+00:00,2.0,0 days 04:52:50,17570.0
203,2024-01-02 16:54:54+00:00,2024-01-02 16:54:56+00:00,2.0,0 days 04:52:56,17576.0
204,2024-01-02 16:55:49+00:00,2024-01-02 16:55:51+00:00,2.0,0 days 04:53:51,17631.0
205,2024-01-02 16:55:53+00:00,2024-01-02 16:55:56+00:00,3.0,0 days 04:53:55,17635.0
206,2024-01-02 16:56:49+00:00,2024-01-02 16:56:55+00:00,6.0,0 days 04:54:51,17691.0
207,2024-01-02 16:57:50+00:00,2024-01-02 16:57:55+00:00,5.0,0 days 04:55:52,17752.0
208,2024-01-02 16:58:50+00:00,2024-01-02 16:58:55+00:00,5.0,0 days 04:56:52,17812.0
209,2024-01-02 17:00:39+00:00,2024-01-02 17:00:41+00:00,2.0,0 days 04:58:41,17921.0
210,2024-01-02 17:01:39+00:00,2024-01-02 17:01:41+00:00,2.0,0 days 04:59:41,17981.0
211,2024-01-02 17:02:39+00:00,2024-01-02 17:02:41+00:00,2.0,0 days 05:00:41,18041.0
212,2024-01-02 17:03:39+00:00,2024-01-02 17:03:40+00:00,1.0,0 days 05:01:41,18101.0
213,2024-01-02 17:04:38+00:00,2024-01-02 17:04:40+00:00,2.0,0 days 05:02:40,18160.0
214,2024-01-02 17:05:34+00:00,2024-01-02 17:05:36+00:00,2.0,0 days 05:03:36,18216.0
215,2024-01-02 17:05:38+00:00,2024-01-02 17:05:39+00:00,1.0,0 days 05:03:40,18220.0
216,2024-01-02 17:06:31+00:00,2024-01-02 17:06:33+00:00,2.0,0 days 05:04:33,18273.0
217,2024-01-02 17:06:35+00:00,2024-01-02 17:06:39+00:00,4.0,0 days 05:04:37,18277.0
218,2024-01-02 17:07:31+00:00,2024-01-02 17:07:33+00:00,2.0,0 days 05:05:33,18333.0
219,2024-01-02 17:07:35+00:00,2024-01-02 17:07:38+00:00,3.0,0 days 05:05:37,18337.0
220,2024-01-02 17:08:31+00:00,2024-01-02 17:08:32+00:00,1.0,0 days 05:06:33,18393.0
221,2024-01-02 17:08:36+00:00,2024-01-02 17:08:38+00:00,2.0,0 days 05:06:38,18398.0
222,2024-01-02 17:09:30+00:00,2024-01-02 17:09:32+00:00,2.0,0 days 05:07:32,18452.0
223,2024-01-02 17:10:30+00:00,2024-01-02 17:10:31+00:00,1.0,0 days 05:08:32,18512.0
224,2024-01-02 17:11:30+00:00,2024-01-02 17:11:31+00:00,1.0,0 days 05:09:32,18572.0
225,2024-01-02 17:12:29+00:00,2024-01-02 17:12:30+00:00,1.0,0 days 05:10:31,18631.0
226,2024-01-02 17:13:29+00:00,2024-01-02 17:13:30+00:00,1.0,0 days 05:11:31,18691.0
229,2024-01-02 17:52:35+00:00,2024-01-02 17:52:36+00:00,1.0,0 days 05:50:37,21037.0
230,2024-01-02 17:53:34+00:00,2024-01-02 17:53:36+00:00,2.0,0 days 05:51:36,21096.0
231,2024-01-02 17:54:33+00:00,2024-01-02 17:54:35+00:00,2.0,0 days 05:52:35,21155.0
232,2024-01-02 17:55:28+00:00,2024-01-02 17:55:30+00:00,2.0,0 days 05:53:30,21210.0
233,2024-01-02 17:55:33+00:00,2024-01-02 17:55:35+00:00,2.0,0 days 05:53:35,21215.0
234,2024-01-02 17:56:28+00:00,2024-01-02 17:56:30+00:00,2.0,0 days 05:54:30,21270.0
235,2024-01-02 17:56:33+00:00,2024-01-02 17:56:35+00:00,2.0,0 days 05:54:35,21275.0
236,2024-01-02 17:57:28+00:00,2024-01-02 17:57:31+00:00,3.0,0 days 05:55:30,21330.0
237,2024-01-02 17:57:33+00:00,2024-01-02 17:57:35+00:00,2.0,0 days 05:55:35,21335.0
238,2024-01-02 17:58:29+00:00,2024-01-02 17:58:31+00:00,2.0,0 days 05:56:31,21391.0
239,2024-01-02 17:58:33+00:00,2024-01-02 17:58:35+00:00,2.0,0 days 05:56:35,21395.0
240,2024-01-02 17:59:29+00:00,2024-01-02 17:59:31+00:00,2.0,0 days 05:57:31,21451.0
241,2024-01-02 17:59:33+00:00,2024-01-02 17:59:35+00:00,2.0,0 days 05:57:35,21455.0
242,2024-01-02 18:00:22+00:00,2024-01-02 18:00:24+00:00,2.0,0 days 05:58:24,21504.0
243,2024-01-02 18:00:29+00:00,2024-01-02 18:00:31+00:00,2.0,0 days 05:58:31,21511.0
244,2024-01-02 18:01:22+00:00,2024-01-02 18:01:24+00:00,2.0,0 days 05:59:24,21564.0
245,2024-01-02 18:01:30+00:00,2024-01-02 18:01:31+00:00,1.0,0 days 05:59:32,21572.0
247,2024-01-02 18:02:22+00:00,2024-01-02 18:02:24+00:00,2.0,0 days 06:00:24,21624.0
249,2024-01-02 18:03:22+00:00,2024-01-02 18:03:24+00:00,2.0,0 days 06:01:24,21684.0
250,2024-01-02 18:04:17+00:00,2024-01-02 18:04:18+00:00,1.0,0 days 06:02:19,21739.0
251,2024-01-02 18:04:21+00:00,2024-01-02 18:04:23+00:00,2.0,0 days 06:02:23,21743.0
252,2024-01-02 18:05:16+00:00,2024-01-02 18:05:17+00:00,1.0,0 days 06:03:18,21798.0
253,2024-01-02 18:05:21+00:00,2024-01-02 18:05:23+00:00,2.0,0 days 06:03:23,21803.0
254,2024-01-02 18:06:16+00:00,2024-01-02 18:06:17+00:00,1.0,0 days 06:04:18,21858.0
255,2024-01-02 18:06:21+00:00,2024-01-02 18:06:23+00:00,2.0,0 days 06:04:23,21863.0
256,2024-01-02 18:07:16+00:00,2024-01-02 18:07:17+00:00,1.0,0 days 06:05:18,21918.0
257,2024-01-02 18:07:21+00:00,2024-01-02 18:07:23+00:00,2.0,0 days 06:05:23,21923.0
258,2024-01-02 18:08:15+00:00,2024-01-02 18:08:17+00:00,2.0,0 days 06:06:17,21977.0
259,2024-01-02 18:09:15+00:00,2024-01-02 18:09:16+00:00,1.0,0 days 06:07:17,22037.0
260,2024-01-02 18:10:14+00:00,2024-01-02 18:10:16+00:00,2.0,0 days 06:08:16,22096.0
261,2024-01-02 18:11:14+00:00,2024-01-02 18:11:15+00:00,1.0,0 days 06:09:16,22156.0
263,2024-01-02 18:12:13+00:00,2024-01-02 18:12:15+00:00,2.0,0 days 06:10:15,22215.0
265,2024-01-02 18:13:13+00:00,2024-01-02 18:13:15+00:00,2.0,0 days 06:11:15,22275.0
267,2024-01-02 18:14:12+00:00,2024-01-02 18:14:14+00:00,2.0,0 days 06:12:14,22334.0
268,2024-01-02 18:15:05+00:00,2024-01-02 18:15:06+00:00,1.0,0 days 06:13:07,22387.0
269,2024-01-02 18:15:12+00:00,2024-01-02 18:15:14+00:00,2.0,0 days 06:13:14,22394.0
271,2024-01-02 18:16:12+00:00,2024-01-02 18:16:14+00:00,2.0,0 days 06:14:14,22454.0
272,2024-01-02 18:17:04+00:00,2024-01-02 18:17:05+00:00,1.0,0 days 06:15:06,22506.0
273,2024-01-02 18:18:04+00:00,2024-01-02 18:18:05+00:00,1.0,0 days 06:16:06,22566.0
274,2024-01-02 18:19:03+00:00,2024-01-02 18:19:04+00:00,1.0,0 days 06:17:05,22625.0
275,2024-01-02 18:20:03+00:00,2024-01-02 18:20:04+00:00,1.0,0 days 06:18:05,22685.0
277,2024-01-02 18:22:02+00:00,2024-01-02 18:22:03+00:00,1.0,0 days 06:20:04,22804.0
281,2024-01-02 18:45:24+00:00,2024-01-02 18:45:25+00:00,1.0,0 days 06:43:26,24206.0
282,2024-01-02 18:46:23+00:00,2024-01-02 18:46:25+00:00,2.0,0 days 06:44:25,24265.0
283,2024-01-02 18:47:23+00:00,2024-01-02 18:47:25+00:00,2.0,0 days 06:45:25,24325.0
284,2024-01-02 18:48:22+00:00,2024-01-02 18:48:24+00:00,2.0,0 days 06:46:24,24384.0
285,2024-01-02 18:49:22+00:00,2024-01-02 18:49:24+00:00,2.0,0 days 06:47:24,24444.0
286,2024-01-02 18:50:21+00:00,2024-01-02 18:50:24+00:00,3.0,0 days 06:48:23,24503.0
287,2024-01-02 18:51:15+00:00,2024-01-02 18:51:19+00:00,4.0,0 days 06:49:17,24557.0
288,2024-01-02 18:51:21+00:00,2024-01-02 18:51:23+00:00,2.0,0 days 06:49:23,24563.0
289,2024-01-02 18:52:15+00:00,2024-01-02 18:52:19+00:00,4.0,0 days 06:50:17,24617.0
290,2024-01-02 18:52:21+00:00,2024-01-02 18:52:23+00:00,2.0,0 days 06:50:23,24623.0
291,2024-01-02 18:53:15+00:00,2024-01-02 18:53:16+00:00,1.0,0 days 06:51:17,24677.0
292,2024-01-02 18:53:18+00:00,2024-01-02 18:53:23+00:00,5.0,0 days 06:51:20,24680.0
293,2024-01-02 18:54:14+00:00,2024-01-02 18:54:16+00:00,2.0,0 days 06:52:16,24736.0
294,2024-01-02 18:54:18+00:00,2024-01-02 18:54:22+00:00,4.0,0 days 06:52:20,24740.0
